,1. open,2. high,3. low,4. close,5. volume
2025-05-16,92.7,92.7,91.8,92.4,14829.0
2025-05-15,91.4,93.2,91.0,92.8,40381.0
2025-05-14,93.2,94.2,93.0,94.2,14988.0
2025-05-13,94.1,94.6,93.3,94.6,29891.0
2025-05-12,93.8,94.5,93.3,94.1,32289.0
2025-05-09,89.6,92.3,89.6,91.2,40101.0
2025-05-08,92.1,92.1,88.5,89.1,17257.0
2025-05-07,91.6,91.8228,90.8,91.5,78442.0
2025-05-06,91.6,92.3,91.3,92.0,14049.0
2025-05-02,94.2,95.3,94.0,94.4,10648.0
2025-05-01,93.6,93.6,92.7,93.4,2900.0
2025-04-30,93.0,93.4,92.6,93.2,9594.0
2025-04-29,95.3,95.8,94.1,95.4,19015.0
2025-04-28,95.1,96.2,95.1,95.4,13948.0
2025-04-25,92.8,93.5,92.5,93.3,17914.0
2025-04-24,94.3,95.7,94.2,94.9,30978.0
2025-04-23,94.6,97.3518,94.2,94.3,38770.0
2025-04-22,97.1,97.4,95.6,96.2,21512.0
2025-04-17,90.6,93.1,90.6,92.6,9998.0
2025-04-16,88.9,90.6,88.9,89.8,11417.0
2025-04-15,88.9,89.7514,88.6,89.4,26197.0
2025-04-14,89.4,89.7,88.6,88.8,8792.0
2025-04-11,87.0,88.8,86.8,87.3,15994.0
2025-04-10,91.0,91.0,86.0,87.5,7889.0
2025-04-09,86.7,86.7,84.2,85.5,15008.0
2025-04-08,88.9,89.8,88.4,89.5,28828.0
2025-04-07,85.3,90.9,84.8,85.5,19602.0
2025-04-04,90.8,90.9,86.5,87.3,33521.0
2025-04-03,90.6,91.3,90.5,90.5,6114.0
2025-04-02,89.9,90.8,89.6,90.5,13117.0
2025-04-01,89.8,90.2,89.7,89.7,8435.0
2025-03-31,89.0,89.3,88.6,88.8,34291.0
2025-03-28,90.2,90.8,89.7,89.8,9404.0
2025-03-27,89.1,90.6,89.1,90.5,9864.0
2025-03-26,89.6,89.7,88.7,88.8,26170.0
2025-03-25,90.2,90.3,89.9,90.2,25534.0
2025-03-24,90.0,91.1,90.0,90.6,12555.0
2025-03-21,87.3,87.7,86.9,87.5,8981.0
2025-03-20,86.4,86.6,86.1,86.4,10297.0
2025-03-19,86.3,86.6,86.0,86.1,4660.0
2025-03-18,84.4,85.7,84.4,85.2,10388.0
2025-03-17,83.4,83.9,83.0,83.9,10224.0
2025-03-14,83.8,84.0,83.7,84.0,5735.0
2025-03-13,83.2,83.6,83.2,83.2,2787.0
2025-03-12,82.5,82.9,82.4,82.9,2906.0
2025-03-11,83.5,83.5,82.9,83.0,5879.0
2025-03-10,83.5,83.5,82.8,82.8,17379.0
2025-03-07,83.8,84.1,83.4,83.6,7580.0
2025-03-06,83.7,84.3962,83.3,83.6,27665.0
2025-03-05,83.0,83.7,82.9,83.3,32031.0
2025-03-04,81.7,82.0,81.1,81.1,6071.0
2025-03-03,79.0,80.1,78.8,79.9,10273.0
2025-02-28,78.5,78.8,78.2,78.8,29034.0
2025-02-27,81.0,81.0,80.4,80.4,6318.0
2025-02-26,81.3,81.7,81.3,81.5,14324.0
2025-02-25,81.8,81.9,81.4,81.6,14843.0
2025-02-24,82.5,82.6,82.2,82.3,8105.0
2025-02-21,83.2,83.3,82.8,83.1,8802.0
2025-02-20,83.9,84.3,83.5,83.5,16415.0
2025-02-19,83.6,83.9,83.1,83.5,9466.0
2025-02-18,83.0,83.5,83.0,83.2,15999.0
2025-02-17,83.0,83.7,82.9,83.5,12647.0
2025-02-14,82.9,83.6,82.2,83.5,18669.0
2025-02-13,83.6,84.2,83.3,83.8,1715.0
2025-02-12,84.6,84.6,83.6,83.8,15042.0
2025-02-11,83.8,84.6,83.4,84.3,20772.0
2025-02-10,84.0,84.2,83.5,83.9,33378.0
2025-02-07,84.3,84.4,83.4,83.6,6730.0
2025-02-06,86.2,87.3,85.6,85.7,16621.0
2025-02-05,87.7,88.6545,87.0,87.5,23840.0
2025-02-04,88.7,89.1,88.4,89.1,5789.0
2025-02-03,86.9,87.4,86.7,87.1,6381.0
2025-01-31,89.4,89.4,88.6,88.8,7912.0
2025-01-30,87.3,87.9,87.2,87.8,15189.0
2025-01-29,87.0,87.3,86.8,86.9,9313.0
2025-01-28,86.9,87.2,86.3,86.7,5458.0
2025-01-27,86.3,86.8,85.9,86.3,21169.0
2025-01-24,86.3,86.4,85.6,85.9,8864.0
2025-01-23,86.2,86.7,85.9,86.1,10779.0
2025-01-22,85.5,87.0621,85.0,86.5,31110.0
2025-01-21,88.2,88.4,87.1,87.7,9592.0
2025-01-20,90.1,90.2,89.3,90.0,12032.0
2025-01-17,87.8,88.2,87.5,88.0,8776.0
2025-01-16,88.2,88.5,87.9,88.4,9556.0
2025-01-15,86.5,87.3,86.4,87.0,4743.0
2025-01-14,86.7,86.8,85.9,86.0,45009.0
2025-01-13,84.9,84.9,83.3,84.0,117891.0
2025-01-10,87.1,87.1,85.8,86.2,21497.0
2025-01-09,88.5,88.9,88.2,88.7,8853.0
2025-01-08,89.2,103.2,89.0,89.7,9949.0
2025-01-07,91.0,91.2367,90.6,91.0,11190.0
2025-01-06,90.5,103.2,89.7,90.8,20096.0
2025-01-03,93.1,93.2,92.0,92.7,5127.0
2025-01-02,93.3,93.4,92.9,93.2,3199.0
2024-12-31,93.1,93.1,92.6,92.6,318.0
2024-12-30,93.0,93.2,92.0,92.2,9970.0
2024-12-27,94.5,94.5,93.2,93.5,11570.0
2024-12-24,95.6,95.6,95.2,95.2,5048.0
2024-12-23,96.6,96.6,95.6,96.1,32896.0
2024-12-20,96.1,96.7,95.1,96.7,11667.0
